profileName,cleaned_comment,language,sentiment
ᎯᏞᏞᎯ ᎬᎠᎠᎥᏁᎬ ᏨᎻᎬᏞᎥᎻᎥ,نهار تاخذو احتجاجاتنا انشغالاتنا بعين الإعتبار تم نقدرو نصارحوكم حقيقة خدماتكم كزبائن محتمين للأسف معظم القطاعات المؤسسات الوطنية تتعاقد مديريتكم,arabic,negative
Zerkane Mohamed,عندي حساب جاري أستعمله مند سنوات يمحا اوتوماتيكيا,arabic,neutral
Nacer Kadi,لماذا مصلحة الصكوك تجيب الهاتف,arabic,neutral
Tom Rafik Rafiko,شكرا,arabic,positive
Ki Ya,المدارس الخاصة ممنوعة منحة البطالة استرجاع الاموال,arabic,neutral
Farid Rais,ماشاءالله بالتوفيق واصل,arabic,positive
Lahcene Benaissa,فكل تنشرونه الصفحة الماضي هاتوا لذيكم جديد,arabic,neutral
عمر أبو زيد,Salah Salah,french,neutral
Yanis Yan,اي تسنى سنين,arabic,neutral
Sou Sou,علاش eccp مكانش appel store,french,neutral
Abbes Ben Safia,فلكسي برك,arabic,neutral
Graith,ديرو مركز اتصالات لخدمة العملاء للإهتمام بإنشغالات الناس ديرولو رقم اخضر مجاني مدفوع رقمكم الحالى مدفوع احد يرد,arabic,neutral
Ouassini Fentour,الدفع الالكتروني والاطلاع الرصيد,arabic,neutral
Свобода Для Палестины,تطبيق بريدي موب يكفي خدمة eccp خدمات زيادة,arabic,neutral
Hatem Cheggouri,Flixy versement compte à compte,french,neutral
Omar Daddi,رقم سري تاع eccp نسيتو كيفاه نجيبو خاوتي,arabic,neutral
Zebir Saidi,Algérie Poste بريد الجزائر شو معنى بزاف الموجود منشور,arabic,neutral
TDSService,خاوتي حذاري صفحات النهب المشابهة لبريدي موب انتشرت,arabic,neutral
TDSService,هااام جدا تنشر ابدا صورة لبطاقتك الذهبية لانو ترجع قصديرية,arabic,neutral
درب القرآن الكريم,كيفية حذف بريد الكتروني eccp,arabic,neutral
Maria Amandilase ,Bonjour Regroupement familial Nationalité Algérienne Envoi dossier juillet Attestation de dépôt reçue septembre Visite enquêteur octobre Complètement novembre Accord favorable avril reçu juillet Dépôt de dossier tls aout oran Dépôt de passeport octobre Visa accordé aujourd hui hmdlh Hamdolilah la kouba à vous tous inchalah Bon courage à tous,french,neutral
Hadji Djalal,سلام عليكم بلوكاول ccp قالولي ديون مليون عليا ان افعل اريد اجابة فظلكم وشحرا,arabic,neutral
Omarn Habi,شكرا,arabic,positive
Zakaria RM,بالتوفيق شاء الله,arabic,positive
Ahmed Ahmed,شكرا المعلومة,arabic,positive
Sami Zidane,الرقم المذكور يعمل,arabic,neutral
Miloud Benderbal,شكرا,arabic,positive
Bahri Boubakeur,شكرا علي المعلومة موفقين شاء الله,arabic,positive
Said Said,الخدمة انتهت اصبحت ذكرايات زمان واشبيكم,arabic,neutral
غازي عينتاب,شحال للعام,arabic,neutral
Maverick Topgun,نقطة إجابية,arabic,neutral
Lyes Khalem,عندي شهري ملي فتحت حساب مزال ملحقنيش شاك كاش حل,arabic,neutral
Amazigh Ahror,il faut faire des extensions dans les bureaux de poste d abord,french,neutral
Fatah Yah,تطور ملحوظ,arabic,neutral
شريف الخظراوي,شكرآ,arabic,neutral
لندن لندن,تم,arabic,neutral
Rio Belgacem,سلام شحال,arabic,neutral
Khalil Bouziane,شكرا,arabic,positive
تناهيد الحنين,شحال,arabic,neutral
المنظمة الجزائرية اتصال من أجل التنمية والاستثمار المكتب الولائي سكيكدة,لازم الصناديق انا كراي ميغلقش قدم صالح بوالشعور,arabic,neutral
Ahmed Akhdar,بسرية تامة,arabic,neutral
Rezki Nc,سابت,arabic,neutral
Ahmad Mugahid,انا مشترك عيب خطير رجوع الرسالة اسبوعين اذهب لأخذها برجاء مراجعة الأمر وتمديد المدة لشهرين مثلا علي الرغم الطرود بدون صندوق بريدي نبقي لمدة أكبر,arabic,neutral
Zerkane Mohamed,احصل الصندوق مكتب البريد الخاص بالحي وشكرا,arabic,neutral
حياة حياة,بريد موب,arabic,neutral
Pére Watine,وشحال,arabic,neutral
Bachir Bouallam,السلام عليكم ورحمة الله العنوان دائرة جبل أمساعد ولاية المسيلة الموضوع شكوى بخصوص الصراف الالي بمكتب بريد اغراب أيام توقف الصراف الآلي الخدمة أدى معاناة السكان سحب أموالهم والانتظار طوابير طويلة طيلة اليوم أحيانا وكذا نرجو منكم وضع صراف آلى بمركز البريد الجديد لفك الضغط مركز بريد وسط المدينة لذى نرجو منكم التدخل مراسلة الجهات المعنية حل المشكلة دمتم خدمة الوطن والمواطن,arabic,positive
Nadir Abdou,فائدة الصفحة اذا المنشور ينتهي بإتصل اجل المعلومة,arabic,neutral
Abde Raouf Boutoura,جوه بروسيات يخلص علي الاقل يلقاهم واجدين,arabic,neutral
Adem Faci,وفقكم الله دامكم خدمة المواطن,arabic,positive
خليفة مفوض,نحتو ساعي بريدي وليتو تكريو لبواط,arabic,neutral
Alger Roi Wlid Laroudoute,Algérie Poste بريد الجزائر سلام فضلك الاخ ثمن الكراء وهل يجب تقديم طلب مكتوب وهل دفع الكراء شهر او مرة العام فقط,arabic,neutral
Ime Ne,سڨمو تطبيق بريدي موب بزاف عليكم يوم مشاكل يخدمش جوور,arabic,neutral
Ismaïl Charef,راني ملي درت طلب لحد الساعة لايوجد رد,arabic,neutral
Marya Kheloufi,Nhat fih mes affaires de sport,french,neutral
Ab Dou Zoudji,سلام خاوتي راهي كاملتلي نكوة انا طالب جامعي نقدر نخرج دراهم شاك بطاقة الطالب,arabic,neutral
Imad Rami,الموزع الصراف الحجل المسيلة لمذا الأعطال بالله عليكم,arabic,neutral
Лхадж Азуау,شحال الثمن كيفية التعامل الدفع شكرا,arabic,positive
Seddik Messaoudi Dit Amar,Nous n avons pas ce genre de service dans le bureau de poste ighil n tahar Djermouna commune de kherrata wilaya de Béjaïa,french,neutral
Sofiane Ait Aoudia,tarifs s il vous plaît,french,neutral
حساب لعمل ,البطاقة الذهبية تاعي راهي موجودة ولاية بعيدة عليا تقدر نديرلها تحول لعني العلم انها عندها سهر ملئ خرجت,arabic,neutral
عبد الرحمان,السلام عليكم حولت أموال حساب جاري خاطئ ماهي الإجراءات فصلكم,arabic,neutral
Sēn Mōhāmēd Īslēm,تروح تفتح يقولك لخدام مكاشوا يرقمنوه يقولك الريزوا,arabic,neutral
Mohamed Mehdi,معلومة مهمة,arabic,neutral
Адель Бин Мухаммад,قدمت الطلب عدة مرات ولم يتم الرد,arabic,neutral
Billy Oukaci Allag,Raho kathrou serakin w nessabin b isem Algérie poste f réseau Facebook,french,neutral
Ala Bergouger,الى التمطل صنع البطاقة وماهي الحلول عندي شهر ومازال فطور التصنيع,arabic,neutral
طيب طاهيري,وأخيرا بدينا نلحڨوا لتكنولوجيا القرن ال,arabic,neutral
Issam Chennouf,عام يزيد السومة تقول عقار,arabic,neutral
Amina Muhammad,مرحبا حدث الشيء للكثيرين منكم كنت ضحية لعملية احتيال نوع فأخبرني وسأساعدك تتبع أصل المعاملة واسترداد أموالك لديك دليل الدفع يفت الأوان لاسترداد أموالك,arabic,neutral
حميدي حسين,Sa Med,french,neutral
Ramzi Bouchakri,الردمنة,arabic,neutral
Krimo Boot,يشكروهم الخدامة تاعهم هههههههه,arabic,neutral
Farid Rais,ماشاءالله ربي يبارك فيكم جميعا بالتوفيق واصل,arabic,positive
Mouh Usma,بريد الجزائر ممكن سوال كيفاش راكم تخيرو الخدامين يخدم التشناف او زبيط الوجه تحسب رهم يخلصونا جيوبهم,arabic,neutral
Zaza Z'hor,ماشاء الله ربي وفقكم ان شاء الله احسنتم,arabic,positive
سلمات أبو عبد الرحيم,مبادرة جميلة منكم,arabic,neutral
Bê Llä,Chal,french,neutral
Imad Ima De,تطبيق بريدي موب ثقيل نتمنى ديرو حل ولاميزاجور جديدة,arabic,negative
Abdelkader Benmazouzia,الصناديق بالتحلال وحتى اشعال صك البريد يوضعوه فى الصندوق,arabic,neutral
Rouina Mouàad,Mourad Tounsi عندك,french,neutral
Djidel Ameur,اين الصناديق يتصل المواطن لاشتراك تبيعون الاوهام عندما توجدو الصناديق مراكز البريد عندها خرجوا اعلان تبيعون الاوهام للشعب الجزائري,arabic,neutral
Smail Ned,ناس راهي القمر ونتوما مزالكم معا الصندوق,arabic,neutral
Djilali Ayo,Barkaoui Abobakr روح جيب دير دراهم,arabic,neutral
Alg Alg,ثمن كراء,arabic,neutral
Bilal Djebbari,طلب يوضع مكتب البريد التابع دج ثمن الاشتراك لمدة سنة,arabic,neutral
Sou Mia,ماكراش,arabic,neutral
نور الهدى الهدى,حملة مقاطعة منصات ميتا واتساب يوم الجمعة لمدة ساعة,arabic,neutral
Îbtî Ssęm,ناس تعمل بالذكاء الاصطناعي ونتوما مزلتم الصنادڨ ههههه,arabic,neutral
Ekkar Fellak,كنتوا تمدوهم بالمعريفة خليها للعنكبوت,arabic,neutral
Mouhamed Réda,متوفرة,arabic,neutral
Alg Alg,ازدهار تقدم تطور رهيب شكرا بريد الجزائر,arabic,positive
Be Cafeus,Carte edahabia ne fonctionne dans les GAB bancaire et TPE qu est ce qui se passe aujourd hui,french,neutral
Mustapha Kara,وراه الرسائل,arabic,neutral
شويرب بن عيسى,المختار عبدالصمد,arabic,neutral
Ilyes Alilo,Aissa Ben Hcen ALi,french,neutral
Houssem Eddine Chaita,Mehdi Nabti,french,neutral
Noe Nawel,Nadia Tizi,french,neutral
Med Abboud Amazigh,Guellati Ibrahim,french,neutral
Sido BZ,SidAhmed Haddadi,french,neutral
Racha Os,Hafsousa Hafsa,french,neutral
Amiri Kamel,Dani Dinou البراء جابر,arabic,neutral
Infosat,Labza Salem,french,neutral
Shelby Tid,Ismail Khedir,french,neutral
غازي عينتاب,نزال ننتظر إضافة خاصية إرسال المال حساب بريدي حساب بريدي آخر بإستعمال فقط رقم الحساب المفتاح عنوان المرسل إليه,arabic,neutral
اسماعيل جنان,Rias Leon Outlook لماذا,french,neutral
Akef Abadi,وقت البريد الإلكتروني والذكاء الاصطناعي تطرحون مواضيع أكل عليها الدهر وشرب,arabic,neutral
المنظمة العالمية لمكافحة الفساد  فرع الجزائر,لدينا طلب مضى تقريبا سنة مستوى مركز البريد الرويبة للأسف يقومو بالواجب رغم تذكيرهم,arabic,negative
Oussalah Mohand Arab,ne repond jamais,french,neutral
تنمية مستدامة,فرع ام القراد ببلدية سلمانةولايةمسعدالمنتدبة يعاني التهميش سكانه يعانون نقائص عديدة اهمها الغاز ربط المنطقة بالغاز الطبيعي طريق تابي جسر يربط الفرع بلدية سلمانه الكهرباء الفلاحية تجهيز الفرع بريزو اجهزة اعلام الي قاعة بريد,arabic,neutral
Ëd Ên,احسن خدمات الجزائر وخاصة خدمة سحب الاموال,arabic,neutral
